微博内容,点赞数,情感类别,情感得分,主题_0,主题_1,主题_2,主题_3,主题_4,主题_5,主题_6,主题_7,主题_8,主题_9,关键词_今天,关键词_亿元,关键词_智能,关键词_增长,关键词_科技,关键词_测试,关键词_出租车,关键词_出行,关键词_市场,关键词_不止,关键词_第一次,关键词_robotaxi,关键词_ai,关键词_自动,关键词_看到,关键词_已经,关键词_可以,关键词_真的,关键词_全球,关键词_体验,情感得分加权
“萝卜快跑”正常直行时被插队，直接起步，插队车被吓回方向亿点曝光计划超能新星汇,2441.0,正面,0.6494233012199402,0.0,0.0,0.9631053805351257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1585.242278277874
"6月9日，湖北武汉，萝卜快跑直行时避让转弯车辆，邻道小车躺枪撞翻护栏翻滚一圈，""萝卜""全责""鱼头""司机受伤送医萝卜快跑热点现场",1.0,正面,0.6953089833259583,0.9786379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6953089833259583
作为海南国资体系内重要的汽车运输服务上市企业，海汽集团在海南交通运营领域具备显著优势。公司拥有多元化客运业务板块，并持有网约车运营资质，是海南交通出行市场的核心参与者。2025年4月15日，海汽集团迎来重要战略布局，与百度旗下的阿波罗智行、萝卜快跑达成深度合作，三方共同签署《自动驾驶,145.0,正面,0.791887104511261,0.0,0.0,0.9918301701545715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,114.82363015413284
今天头一次做自动驾驶，感觉棒棒的。手机下单萝卜快跑，走到指定地点，输入手机后四位，自动开门，关上后车子就自动开起来了。里面一个人都没有，哈哈，车子自动开。感觉驾驶平稳，没有啥异常，老司机一样。到达地点下车拜拜，看着它远去的身影，不由得发出感叹，科技改变生活呀。,9.0,正面,0.9937280416488647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17243973910808563,0.8190172910690308,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.943552374839783
如果加上AI摄像头识别不属于车上的物品也OK（但是萝卜上好像本来就有摄像头？@萝卜快跑自动驾驶）,1.0,正面,0.7384201288223267,0.0,0.9732390642166138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.7384201288223267
把学生送走了，睡到自然醒，然后去杨泗港大桥看雨，接着体验一下萝卜快跑，去拦江路吃了蟹神咩咩，四块一个的袁糖酥饺真的巨巨好吃钟小花大型真香现场开心的一天！,5.0,正面,0.9912793040275574,0.0,0.0,0.9811633229255676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4.956396520137787
在武汉的最后一天，被的士司机拒绝送到车站门口，隔几条路强行下客，身份证落在车上又被敲诈一笔，你鄂司机从不让人失望希望下次回武汉的时候路上只有萝卜快跑,1.0,负面,0.630359411239624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830334186553955,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630359411239624
现根本干不需要那么人，现在很多的小孩都不应该来到这个世界上，中美关系贸易战就是因为中国人太多那么多人上班生产那么多产品而且大多是出口所以美国才要和中国打贸易战.归根到底就是人太多了，而且现是自动化智能化时代很多事情都是不需要人做的，像前段时间百度搞的无人出租萝卜快跑.就被很多出租司,1.0,正面,0.6650683283805847,0.0,0.0,0.0,0.0,0.6833664774894714,0.30772656202316284,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6650683283805847
萝卜快跑无人驾驶体验不错！,2.0,正面,0.9825941920280457,0.89824396,0.010571382939815521,0.012139786966145039,0.0,0.010765409097075462,0.0,0.012783384881913662,0.014768989756703377,0.01162218488752842,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9651883840560913
难怪叫萝卜快跑呢，真是傻白甜,1.0,负面,0.8795251250267029,0.01259998,0.8961907029151917,0.012143068015575409,0.0,0.010768319480121136,0.0,0.01278684101998806,0.014772986061871052,0.011625327169895172,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8795251250267029
活的萝卜快跑诶！,3.0,负面,0.6311978697776794,0.03751587,0.03148428723216057,0.036155395209789276,0.028751665726304054,0.03206214681267738,0.02948724664747715,0.03807219862937927,0.7034144401550293,0.03461384400725365,0.028442924842238426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8935936093330383
第六代「蘿蔔快跑」自動駕駛的士即將引進香港🇭🇰香港超话萝卜快跑2香港,17.0,正面,0.9630991220474243,0.0,0.0,0.0,0.5355970859527588,0.0,0.0,0.0,0.429120808839798,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.372685074806213
顺便说下，萝卜快跑的定位太不准啦！！！,1.0,负面,0.611662745475769,0.54527515,0.010576220229268074,0.36506760120391846,0.0,0.010770334862172604,0.0,0.012789233587682247,0.01477572601288557,0.011627502739429474,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611662745475769
萝卜快跑的作用就是在加塞的时候知道它肯定会让我它真好,3.0,正面,0.9299742579460144,0.0,0.0,0.0,0.1789208948612213,0.0,0.0,0.0,0.7670348286628723,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.789922773838043
下雨天车站避雨的猫猫喜欢上坐萝卜快跑啦～,2.0,正面,0.9895870685577393,0.0,0.0,0.0,0.9370777606964111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9791741371154785
给人笑瘸了萝卜快跑不止车跑人也得跑萝卜快跑百亿流量扶持计划,1.0,正面,0.640113353729248,0.0,0.0,0.9385786652565002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.640113353729248
【6月21日，星期六，农历五月二十六】1、发布涉“国补”不实信息，“新知百略”负责人被警方行政处罚；2、破解液氦卡脖子难题，全球首台多体位无液氦磁共振国内上市；3、1亿用户涌向美团闪购618，“大件”商品成交额增长200%；4、饿了么前eo韩鎏涉嫌职务犯罪，已被警方传唤配合调查；5、“,29.0,正面,0.8472735285758972,0.0,0.0,0.0,0.8534035682678223,0.0,0.0,0.13682878017425537,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.57093232870102
萝卜快跑初体验💯,5.0,正面,0.7168232202529907,0.022608275,0.018973469734191895,0.02178843319416046,0.017326703295111656,0.019321708008646965,0.017769988626241684,0.022943558171391487,0.8212677836418152,0.02085944451391697,0.017140645533800125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5841161012649536
我与汽车的日常超话@萝卜快跑自动驾驶你一个无人驾驶机器人，为什么要使用雨刮,5.0,正面,0.6538089513778687,0.0,0.0,0.9599116444587708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.2690447568893433
今天一个人坐萝卜快跑打开按摩听自己喜欢的歌好惬意😌,2.0,正面,0.9799292683601379,0.6454603,0.3112500011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9598585367202759
【AI赋能这个大赛期待值拉满，四川数字乡村创新“助力锦囊”来了】当AI浪潮蔓延到农村，“乡村数智人”成为数字乡村建设的新风口，该领域创新发展会有什么新看点？6月18日至19日，四川省2025年全国数字乡村创新大赛宣介会暨四川网信“数智领航”第五期数字乡村发展交流会在眉山市举行。实地调研点,1.0,正面,0.8673043847084045,0.0,0.0,0.9912073612213135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8673043847084045
这一动向正值特斯拉即将推出Cyberab无人出租车网络之际，马斯克正把公司未来的增长寄托在自动驾驶技术上。与此同时，萝卜快跑、在美上市的小马智行和文远知行等中国企业，也纷纷将业务拓展至中东、欧洲和东南亚。萝卜快跑的发展正在提速，目前全球部署的自动驾驶车辆已超过1000台，其中大部分位,1.0,正面,0.9111568927764893,0.0,0.12853753566741943,0.27225565910339355,0.0,0.17981991171836853,0.0,0.3336082100868225,0.0,0.08051985502243042,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.9111568927764893
国外有些博主已经被邀请Robotaxi的早期体验不过虽然是无人驾驶，但副驾驶还是有安全员跟着不就是美国版的「萝卜快跑」吗6月22号发布，估计会巨酷无人驾驶特斯拉超话特斯拉,50.0,正面,0.9670397043228149,0.0,0.0,0.0,0.0,0.0,0.0,0.982697069644928,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,48.35198521614075
有知情人士透露，百度萝卜快跑正瞄准新加坡和马来西亚！全球扩张脚步稳了～萝卜快跑已全球部署千余辆自动驾驶车，订单破1100万次，顺利超越Waymo！国际化路线火力全开，还瞄准欧洲、土耳其和香港新测试区，稳扎稳打。与此同时，特斯拉Cyberab也蓄势待发，自动驾驶出租车大战一触即发。未来出行，,6.0,正面,0.9359005093574524,0.0,0.26312148571014404,0.0,0.0,0.0,0.0,0.0,0.0,0.2959223985671997,0.43257254362106323,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,5.615403056144714
为什么萝卜快跑不能和Robotaxi比？萝卜快跑2成都·成都高新特斯拉中心,1.0,负面,0.670891284942627,0.0,0.0,0.0,0.0,0.0,0.0,0.9563732743263245,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.670891284942627
刚才看了@傲敦的小作文采访小马智行楼天成的，在腾讯新闻的泰坦栏目。突然意识到很大的反差，就是主机厂和L4的科技公司，哪怕同样都在做智能驾驶相关的话题，因为角度、利益、方向的不同，关于未来的叙事依然前差万别，甚至对于消费者需要什么，都各有解释。譬如，楼天成关于未来有好几个关键判,2.0,正面,0.9789572358131409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9906282424926758,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9579144716262817
彭博社报道，百度计划最早于今年在新加坡和马来西亚上线萝卜快跑无人驾驶出租车服务。速度真快。42how新能源汽车百度42mark,33.0,正面,0.9405831694602966,0.0,0.8372005820274353,0.0,0.14101140201091766,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.03924459218979
特斯拉超话特斯拉无人出租车特斯拉roboxtaxi炒股超话上证指数[超话]特斯拉无人出租车来了，你看好嘛？？？百度萝卜快跑,1.0,正面,0.6330462098121643,0.0,0.3744930624961853,0.0,0.0,0.0,0.0,0.6020392179489136,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6330462098121643
【强烈建议取消“萝卜快跑”试运营资质】三公里多路程，绕行10倍距离，减免后收费仍超一倍多，还耽误乘客时间和后续事务。运营中违章乱停，堵路时有发生。以互联网产品迭代升级来野蛮生长，给试运营区域市民生活带来的不便和利益受损，盲视忽略，予以沉没。,2.0,负面,0.8691662549972534,0.0,0.9887070059776306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7383325099945068
【百度萝卜快跑香港测试区扩大从机场周边驶入东涌核心区】百度旗下的Robotaxi（自动驾驶出行服务）品牌萝卜快跑在香港的自动驾驶测试进一步升级。6月18日，香港运输署公布，萝卜快跑在香港北大屿山进行自动驾驶车辆测试的路段再扩大，从最初的机场周边逐步扩大至东涌城市生活圈。O百度萝卜快跑香港测试区扩大从机场周边驶入东涌核心区,14.0,正面,0.9380205273628235,0.0,0.0,0.0,0.48811066150665283,0.0,0.0,0.0,0.0,0.5045797824859619,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,13.132287383079529
消息称百度自动驾驶出租车萝卜快跑年内落地东南亚市场O消息称百度自动驾驶出租车萝卜快跑年内落地东南亚市场,1.0,正面,0.79458087682724,0.0,0.0,0.0,0.0,0.0,0.0,0.9776402711868286,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.79458087682724
萝卜快跑你再慢点来接我,1.0,正面,0.5364494919776917,0.01618246,0.013580755330622196,0.015595638193190098,0.012402039021253586,0.013830015435814857,0.012719332240521908,0.01642245054244995,0.8720677495002747,0.01493069063872099,0.01226886361837387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5364494919776917
【萝卜快跑或于今年底进军东南亚市场】消息人士称，百度自动驾驶出租车子公司萝卜快跑计划最快于2025年底进军东南亚市场。萝卜快跑将主要关注东南亚地区的新加坡和马来西亚市场。（新浪财经）,2.0,正面,0.8728628158569336,0.0,0.0,0.0,0.0,0.0,0.0,0.9839112758636475,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1.7457256317138672
百度萝卜快跑最早于2025年底进军东南亚一位知情人士表示，百度旗下自动驾驶出租车部门萝卜快跑计划最早于今年年底将业务拓展至东南亚市场，目前正值自动驾驶出租车公司纷纷加紧拓展海外市场之际。该知情人士称，萝卜快跑在东南亚的主要焦点将是新加坡和马来西亚。在中国自动驾驶出租车公司中，百度,1.0,正面,0.860379159450531,0.0,0.8789586424827576,0.0,0.0,0.0,0.0,0.11306259036064148,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.860379159450531
一个关于特斯拉无人驾驶出租车Robotaxi的事情。去年特斯拉宣布Robotaxi即将进入市场的时候，几乎全网为之疯狂，当然如果这件事情做成了确实厉害，但饭总得一口一口吃，至少现在还没有拿出来颠覆性表现。此前特斯拉的承诺是将会在6月22日起，在美国奥斯汀正式启动Robotaxi，但根据金融时报”报道，,3.0,正面,0.9063921570777893,0.0,0.0,0.0,0.0,0.0,0.0,0.40744081139564514,0.5844761729240417,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2.719176471233368
将依法依规加快对稀土出口许可申请进行审查6月19日，在商务部举行的例行发布会上，新闻发言人何亚东谈到稀土相关出口问题时表示，将依法依规不断加快对稀土相关出口许可,1.0,正面,0.6154125928878784,0.0,0.985124945640564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6154125928878784
红利高低与投资收益、风险评级挂钩25月锂电出口量价双增消费品出口不景气。5月，家电出口3.9亿台，同比下滑5.9%3三部门召开加强新能源汽车安全管理工作会411项具体举措推动北京游戏电竞产业高质量发展5滴灌投资申请香港上市仅供专业投资者,25.0,正面,0.6085203289985657,0.0,0.0,0.0,0.9896090626716614,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.213008224964142
转，18日两市成交1.22万亿，近三个交易日成交量没有太大变化，缩量也只是小幅。从以往经验来看，这种贴着均线震荡的行情，大概率持续到交割日之后。从盘面看，医药和消费继续调整，主要是之前漂移进去的钱在回归自己所属的板块。新能源回归的钱在强化固态设备，电子昨天也因为分层推出而部分回归了低位,1.0,正面,0.9000330567359924,0.0,0.0,0.0,0.0,0.0,0.0,0.9910941123962402,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9000330567359924
每日科技要闻速递（6月20日）1.苹果拟用生成式AI加速定制芯片设计流程。2.SpaeX星舰36号火箭静态点火测试突发爆炸。3.宇树科技已经完成了始于去年底C轮融资的交割。4.xAI被指每月亏损10亿美元，马斯克称彭博社“胡说八道”。5.德州仪器计划在美国投资超过600亿美元建设半导,5.0,正面,0.9232141375541687,0.0,0.0,0.9904835820198059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.6160706877708435
每日科技要闻速递（6月20日）1.苹果拟用生成式AI加速定制芯片设计流程。2.SpaeX星舰36号火箭静态点火测试突发爆炸。3.宇树科技已经完成了始于去年底C轮融资的交割。4.xAI被指每月亏损10亿美元，马斯克称彭博社“胡说八道”。5.德州仪器计划在美国投资超过600亿美元建设半导体工厂。6.计划,5.0,正面,0.9216452836990356,0.0,0.0,0.9908603429794312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.608226418495178
保卫萝卜！萝卜快跑家耶好可爱哈哈哈哈wb对战ksg2025kpl夏季赛,65.0,正面,0.7669456601142883,0.0,0.0,0.0,0.955027163028717,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.85146790742874
竟然被萝卜快跑加塞了🌚🌚🌚,3.0,负面,0.7789827585220337,0.016179042,0.013577882200479507,0.01559233944863081,0.012399415485560894,0.01382709015160799,0.012716640718281269,0.016418976709246635,0.8720948100090027,0.014927532523870468,0.012266268022358418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.336948275566101
萝卜快跑体验了,6.0,正面,0.80718594789505,0.022607813,0.01897307299077511,0.0217879805713892,0.017326341941952705,0.019321303814649582,0.017769617959856987,0.022943083196878433,0.821271538734436,0.02085900865495205,0.017140287905931473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8431156873703
在北京乘坐无人驾驶是什么体验拉加德在北京体验无人驾驶欧洲央行行长拉加德近日访华，在北京体验了萝卜快跑无人驾驶汽车。她盛赞其安全平稳，还畅想车内可变美容院，这体验太新奇！,4.0,正面,0.9628729820251465,0.0,0.0,0.9832204580307007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.851491928100586
《萝卜快跑在香港又有新突破助力香港全面打造科创之城》6月18日，香港特别行政区运输署发布消息称，萝卜快跑已获批在香港东涌的指定路段和时段开展测试，进一步丰富自动驾驶应用场景。O网页链接,1.0,正面,0.9152953028678894,0.0,0.0,0.0,0.6120659112930298,0.1732303351163864,0.0,0.20307092368602753,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9152953028678894
其实萝卜快跑是另一种ktv,2.0,正面,0.8582596182823181,0.012597784,0.010572397150099277,0.012140951119363308,0.8952912092208862,0.010766442865133286,0.0,0.01278461143374443,0.014770402573049068,0.011623300611972809,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7165192365646362
【百度萝卜快跑香港第三次扩区，获批在东涌指定路段和时段开展测试】据百度Apollo智能驾驶官方消息，6月18日，香港特别行政区运输署宣布萝卜快跑已获批在香港东涌的指定路段和时段开展测试。这是继4月底，香港运输署更新自动驾驶车辆试行牌照并扩大萝卜快跑自动驾驶车辆在香港的测试区域后，,2.0,正面,0.8313968777656555,0.0,0.0,0.0,0.6035659909248352,0.0,0.0,0.028819847851991653,0.0,0.35997718572616577,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.662793755531311
萝卜快跑在香港第三次扩区，获批在东涌指定路段和时段开展测试。萝卜快跑308_IO新能源汽车,11.0,正面,0.9648588299751282,0.0,0.0,0.0,0.8354732990264893,0.0,0.0,0.13937675952911377,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.61344712972641
蘿蔔快跑宣布其自動駕駛測試區擴展至香港東涌，這是自2024年12月進入香港後的再次擴區，目前安全行駛里程已超1.5萬公里，成功申請10輛自動車在指定路段進行測試。運輸署更新了自動駕駛車輛牌照，以支持測試範圍的擴大，並將持續推進市場應用和技術創新。,2.0,正面,0.7908226251602173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9900214076042175,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5816452503204346
谷歌的Waymo，无人出租车AV，势如破竹，运营不到2年，抢下20%打车市场份额，超越了成立13年的Lyft。网约车鼻祖Uber，从巅峰70%份额，下降到60%，忙不迭跟文远合作在中东落地具身智能移动载具服务。上述市场重构，还是在近4成的老美不相信自动驾驶出租车的情况下，悄然发生。被AI打得晕头转向的,1.0,正面,0.8921310305595398,0.0,0.0,0.0,0.0,0.0,0.0,0.9907329082489014,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.8921310305595398
美股稳定币Cirle大涨34%再创新高，创上市以来最大单日涨幅，股价逼近200美元，消息上美参议院通过稳定币法案时代出版华峰超纤（蚂蚁系已经涨了一波可以关注高切低的京东系）中东冲突：伊以均称周四晚上有重大行动，美称通过对伊行动决议但尚未执行石化：准油股,3.0,正面,0.8499634265899658,0.0,0.0,0.0,0.9898325204849243,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.5498902797698975
【电报解读】国内外巨头纷纷加码无人出租车业务，报告称2030年中国Robotaxi全球市场份额占比近6成，这家公司产品批量供货萝卜快跑无人出租车O网页链接,1.0,正面,0.7634676694869995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821460843086243,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0.7634676694869995
萝卜快跑是不是有病啊能来来不能来滚,2.0,负面,0.7425847053527832,0.012598641,0.010573117062449455,0.012141778133809566,0.0,0.010767175815999508,0.0,0.01278548315167427,0.9003999829292297,0.011624092236161232,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4851694107055664
半夜乘坐在无人驾驶的车上…体验了把萝卜快跑～,1.0,正面,0.9403542876243591,0.0,0.0,0.9291498064994812,0.0,0.0,0.0,0.0,0.010237329639494419,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9403542876243591
人生新体验-萝卜快跑2东莞L飞奔的蜗牛噶的微博,2.0,正面,0.6780707836151123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9401471614837646,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3561415672302246
这个我这IP真有朴质询你过来我请你坐萝卜快跑,1.0,正面,0.6386812329292297,0.0,0.0,0.0,0.0,0.0,0.0,0.9295819401741028,0.010239353403449059,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6386812329292297
